date,tripKm,liters,yen,partial,kmPerL
2026-03-14,405.2,28.4,4544,false,14.3
2026-03-29,388.6,27.1,4336,false,14.3
2026-04-12,421.8,29.3,4688,false,14.4
2026-04-26,366.4,25.9,,false,14.1
2026-05-10,398,27.8,4448,false,14.3
2026-05-24,180.5,12,1920,true,
2026-05-25,233.7,16.4,2624,false,14.6
2026-06-07,412.3,28.5,4560,false,14.5
2026-06-21,377.9,26.6,,false,14.2
2026-07-05,430.1,30.2,4832,false,14.2
2026-07-19,402.6,28,4480,false,14.4
2026-08-02,145.8,10.5,1680,false,13.9
2026-08-02,259.4,18.2,2912,false,14.3
2026-08-16,415.5,29.1,4656,false,14.3
2026-08-30,394.2,27.4,4384,false,14.4
